Custo (€);Amsterdam;Athens;Berlin;Bern;Brussels;Copenhagen;Edinburgh;Lisbon;London;Luxembourg;Madrid;Paris;Prague;Rome;Vienna
Amsterdam;0.0;256.83;46.36;109.38;20.9;150.67;84.29;255.56;82.33;53.0;148.5;103.0;74.85;166.82;119.6
Athens;;0.0;283.56;437.83;431.57;243.86;342.55;381.5;281.73;211.08;656.67;241.54;244.22;318.88;134.71
Berlin;;;0.0;89.64;86.89;92.88;143.92;316.5;88.25;127.83;315.88;91.17;32.18;112.36;66.6
Bern;;;;0.0;72.78;139.2;126.38;242.11;162.5;71.5;118.54;39.71;95.75;112.13;90.7
Brussels;;;;;0.0;73.93;90.55;160.0;54.67;17.92;312.4;32.67;130.14;323.0;87.23
Copenhagen;;;;;;0.0;266.29;623.0;239.2;92.17;371.0;110.75;114.78;261.33;122.27
Edinburgh;;;;;;;0.0;575.8;82.0;201.0;197.67;120.22;144.0;176.21;161.38
Lisbon;;;;;;;;0.0;184.17;270.63;63.8;255.14;210.36;228.08;651.0
London;;;;;;;;;0.0;76.86;121.71;41.4;200.67;299.83;94.85
Luxembourg;;;;;;;;;;0.0;274.5;29.15;93.25;100.0;177.0
Madrid;;;;;;;;;;;0.0;97.54;209.73;174.92;237.91
Paris;;;;;;;;;;;;0.0;121.56;191.38;107.08
Prague;;;;;;;;;;;;;0.0;152.22;34.67
Rome;;;;;;;;;;;;;;0.0;129.78
Vienna;;;;;;;;;;;;;;;0.0
