Distance (km);Amsterdam;Athens;Berlin;Bern;Brussels;Copenhagen;Edinburgh;Lisbon;London;Luxembourg;Madrid;Paris;Prague;Rome;Vienna
Amsterdam;0;3082;649;875;209;904;1180;2300;494;371;1782;515;973;1835;1196
Athens;;0;2552;2627;3021;3414;3768;4578;3099;2744;3940;3140;2198;2551;1886
Berlin;;;0;986;782;743;1727;3165;1059;767;2527;1094;354;1573;666
Bern;;;;0;655;1392;1643;2179;975;429;1541;556;766;897;907
Brussels;;;;;0;1035;996;2080;328;233;1562;294;911;1615;1134
Copenhagen;;;;;;0;1864;3115;1196;1106;2597;1329;1033;2352;1345
Edinburgh;;;;;;;0;2879;656;1206;2372;1082;1872;2467;2098
Lisbon;;;;;;;;0;2210;2165;638;1786;2945;2737;3255
London;;;;;;;;;0;538;1704;414;1204;1799;1233
Luxembourg;;;;;;;;;;0;1647;379;746;1400;885
Madrid;;;;;;;;;;;0;1268;2307;2099;2617
Paris;;;;;;;;;;;;0;1094;1531;1285
Prague;;;;;;;;;;;;;0;1370;312
Rome;;;;;;;;;;;;;;0;1168
Vienna;;;;;;;;;;;;;;;0
